16_G_20_1,0.145,,,,,,,,,,,,,,,,16_G_17_1,3.041,,16_G_17_2,0.002,,16_G_17_3,0.006,,16_G_17_4,0.004
,,,,,,,,,,,,,,,,,16_G_18_1,0.631,,16_G_18_2,0.01,,16_G_18_3,0.005,,16_G_18_4,0.004
16_G_13_3,0.009,,,,,,,,,,,,,,,,16_G_19_1,0.378,,16_G_19_2,0.008,,16_G_19_3,0.004,,16_G_19_4,0.002
16_G_14_3,0.006,,,,,,,,,,,,,,,,16_G_20_1,0.145,,16_G_20_2,0.001,,16_G_20_3,0.004,,16_G_20_4,0
16_G_15_3,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,
16_G_16_3,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,
16_G_17_3,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,
16_G_18_3,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,
16_G_19_3,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,
16_G_20_3,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_G_17_4,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,
16_G_18_4,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,
16_G_19_4,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,
16_G_20_4,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_G_09_2,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,
16_G_10_2,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,
16_G_11_2,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,
16_G_12_2,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,
16_G_13_2,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,
16_G_14_2,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,
16_G_15_2,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,
16_G_16_2,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,
16_G_17_2,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,
16_G_18_2,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
16_G_19_2,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,
16_G_20_2,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_F_001,97.029,,,,,,,,,,,,,,,,,,,,,,,,,,
03_F_002,1809.298,,,,,,,,,,,,,,,,,,,,,,,,,,
03_F_003,281.383,,,,,,,,,,,,,,,,,,,,,,,,,,
03_F_004,113.948,,,,,,,,,,,,,,,,,,,,,,,,,,
03_F_005,86.528,,,,,,,,,,,,,,,,,,,,,,,,,,
03_F_009,64.834,,,,,,,,,,,,,,,,,,,,,,,,,,
03_F_010,397.953,,,,,,,,,,,,,,,,,,,,,,,,,,
03_F_011,270.773,,,,,,,,,,,,,,,,,,,,,,,,,,
03_F_012,242.77,,,,,,,,,,,,,,,,,,,,,,,,,,
03_F_013,59,,,,,,,,,,,,,,,,,,,,,,,,,,
03_F_017,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,
03_F_018,17.47,,,,,,,,,,,,,,,,,,,,,,,,,,
03_F_019,136.592,,,,,,,,,,,,,,,,,,,,,,,,,,
03_F_020,15.654,,,,,,,,,,,,,,,,,,,,,,,,,,
03_F_021,26.563,,,,,,,,,,,,,,,,,,,,,,,,,,
03_F_025,8.186,,,,,,,,,,,,,,,,,,,,,,,,,,
03_F_026,16.004,,,,,,,,,,,,,,,,,,,,,,,,,,
03_F_027,89.92,,,,,,,,,,,,,,,,,,,,,,,,,,
03_F_028,53.574,,,,,,,,,,,,,,,,,,,,,,,,,,
03_F_029,13.67,,,,,,,,,,,,,,,,,,,,,,,,,,
03_F_033,20.437,,,,,,,,,,,,,,,,,,,,,,,,,,
03_F_034,43.423,,,,,,,,,,,,,,,,,,,,,,,,,,
03_F_035,1.997,,,,,,,,,,,,,,,,,,,,,,,,,,
03_F_036,12.095,,,,,,,,,,,,,,,,,,,,,,,,,,
03_F_037,25.455,,,,,,,,,,,,,,,,,,,,,,,,,,
03_F_041,21.943,,,,,,,,,,,,,,,,,,,,,,,,,,
03_F_042,6.833,,,,,,,,,,,,,,,,,,,,,,,,,,
03_F_043,26.144,,,,,,,,,,,,,,,,,,,,,,,,,,
03_F_044,2.196,,,,,,,,,,,,,,,,,,,,,,,,,,
03_F_045,30.636,,,,,,,,,,,,,,,,,,,,,,,,,,
03_F_049,4.074,,,,,,,,,,,,,,,,,,,,,,,,,,
03_F_050,10.742,,,,,,,,,,,,,,,,,,,,,,,,,,
03_F_051,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,
03_F_052,7.358,,,,,,,,,,,,,,,,,,,,,,,,,,
03_F_053,4.272,,,,,,,,,,,,,,,,,,,,,,,,,,
03_F_057,4.226,,,,,,,,,,,,,,,,,,,,,,,,,,
03_F_058,6.25,,,,,,,,,,,,,,,,,,,,,,,,,,
03_F_059,11.326,,,,,,,,,,,,,,,,,,,,,,,,,,
03_F_060,2.551,,,,,,,,,,,,,,,,,,,,,,,,,,
03_F_061,3.181,,,,,,,,,,,,,,,,,,,,,,,,,,
03_F_065,1.104,,,,,,,,,,,,,,,,,,,,,,,,,,
03_F_066,6.192,,,,,,,,,,,,,,,,,,,,,,,,,,
03_F_067,2.691,,,,,,,,,,,,,,,,,,,,,,,,,,
03_F_068,1.344,,,,,,,,,,,,,,,,,,,,,,,,,,
03_F_069,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,
03_F_073,2.592,,,,,,,,,,,,,,,,,,,,,,,,,,
03_F_074,3.951,,,,,,,,,,,,,,,,,,,,,,,,,,
03_F_075,0.434,,,,,,,,,,,,,,,,,,,,,,,,,,
03_F_076,1.974,,,,,,,,,,,,,,,,,,,,,,,,,,
03_F_077,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_P_01,52.75,,,,,,,,,,,,,,,,,,,,,,,,,,
17_P_02,44.99,,,,,,,,,,,,,,,,,,,,,,,,,,
17_P_03,50.24,,,,,,,,,,,,,,,,,,,,,,,,,,
17_P_04,55.2,,,,,,,,,,,,,,,,,,,,,,,,,,
17_P_05,100.99,,,,,,,,,,,,,,,,,,,,,,,,,,
17_P_06,10.33,,,,,,,,,,,,,,,,,,,,,,,,,,
17_P_07,17.57,,,,,,,,,,,,,,,,,,,,,,,,,,
17_P_08,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,
17_P_09,37,,,,,,,,,,,,,,,,,,,,,,,,,,
17_P_10,27.19,,,,,,,,,,,,,,,,,,,,,,,,,,
17_P_11,10.45,,,,,,,,,,,,,,,,,,,,,,,,,,
17_P_12,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,
17_P_13,4.23,,,,,,,,,,,,,,,,,,,,,,,,,,
17_P_14,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,
17_P_15,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,
17_P_16,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,
